Name,Status,Site,Cluster,Role,Tenant,VCPUs,Memory (MB),Disk,IP Address,ID,Device,Tenant Group,IPv4 Address,IPv6 Address,Description,Comments,Config Template,Serial number,Contacts,Tags,Created,Last updated,Platform,Interfaces,Virtual Disks,Backup,DTAP state,Harddisk,open actions,Server Group
coligo-acc-blf1,Active,,LXC containers,Container,Systems Infrastructure,,,,172.18.31.91,168,vw436,,172.18.31.91/22,,BLF,,,,T&P / Coligo Grid (responsible),,2025-07-22T10:21:05.689772Z,2025-07-22T10:21:06.090342Z,Ubuntu 20.04 LTS,0,,,Acceptance,,,Voiceworks
coligo-acc-blf2,Active,,LXC containers,Container,Systems Infrastructure,,,,172.18.31.92,169,vw437,,172.18.31.92/22,,BLF,,,,T&P / Coligo Grid (responsible),,2025-07-22T10:21:06.658240Z,2025-07-22T10:21:07.058809Z,Ubuntu 16.04 LTS,0,,,Acceptance,,,Voiceworks
coligo-acc-blf3,Active,,LXC containers,Container,Systems Infrastructure,,,,172.18.31.28,535,vw437,,172.18.31.28/22,,BLF,,,,T&P / Coligo Grid (responsible),,2025-07-22T10:23:41.695627Z,2025-07-22T10:23:42.572683Z,Ubuntu 16.04 LTS,0,,,Acceptance,,,Voiceworks
coligo-acc-db1,Active,,Unknown,Container,Systems Infrastructure,,,,,119,,,,,PHASED OUT,,,,,,2025-07-22T10:20:11.597561Z,2025-07-22T10:20:11.597577Z,,0,,,,,PHASED OUT,
coligo-acc-db2,Active,,Unknown,Container,Systems Infrastructure,,,,,124,,,,,PHASED OUT,,,,,,2025-07-22T10:20:16.316440Z,2025-07-22T10:20:16.316455Z,,0,,,,,PHASED OUT,
coligo-acc-eproxy1,Active,,LXC containers,Container,Systems Infrastructure,,,,172.18.31.132,118,vw436,,172.18.31.132/22,,Coligo GRID acceptance edge proxy,,,,T&P / Coligo Grid (responsible),,2025-07-22T10:20:10.976350Z,2025-07-22T10:20:11.388836Z,Ubuntu 16.04 LTS,0,,,Acceptance,,,Voiceworks
coligo-acc-eproxy2,Active,,LXC containers,Container,Systems Infrastructure,,,,172.18.31.140,123,vw437,,172.18.31.140/22,,Coligo GRID acceptance edge proxy,,,,T&P / Coligo Grid (responsible),,2025-07-22T10:20:15.623446Z,2025-07-22T10:20:16.097654Z,Ubuntu 16.04 LTS,0,,,Acceptance,,,Voiceworks
coligo-acc-hproxy1,Active,,LXC containers,Container,Systems Infrastructure,,,,172.18.31.131,117,vw436,,172.18.31.131/22,,Coligo GRID acceptance home proxy,,,,T&P / Coligo Grid (responsible),,2025-07-22T10:20:09.621749Z,2025-07-22T10:20:10.349028Z,Ubuntu 16.04 LTS,0,,,Acceptance,,,Voiceworks
coligo-acc-hproxy2,Active,,LXC containers,Container,Systems Infrastructure,,,,172.18.31.139,122,vw437,,172.18.31.139/22,,Coligo GRID acceptance home proxy,,,,T&P / Coligo Grid (responsible),,2025-07-22T10:20:14.683523Z,2025-07-22T10:20:15.089632Z,Ubuntu 16.04 LTS,0,,,Acceptance,,,Voiceworks
coligo-acc-janus3,Active,,LXC containers,Container,Systems Infrastructure,,,,172.18.31.35,482,vw436,,172.18.31.35/22,,Coligo GRID acceptance janus gateway,,,,T&P / Coligo Grid (responsible),,2025-07-22T10:23:18.715924Z,2025-07-22T10:23:19.126641Z,Debian 10.0 (buster),0,,,Acceptance,,,Voiceworks
coligo-acc-janus4,Active,,LXC containers,Container,Systems Infrastructure,,,,172.18.31.36,483,vw437,,172.18.31.36/22,,Coligo GRID acceptance janus gateway,,,,T&P / Coligo Grid (responsible),,2025-07-22T10:23:19.673339Z,2025-07-22T10:23:20.079532Z,Debian 10.0 (buster),0,,,Acceptance,,,Voiceworks
