application_name,average_throughput_gb_per_hr,backup_level_name,backup_set_name,client_groups,client_id,client_name,destination_client_name,elapsed_seconds,end_time,job_id,job_type,localized_operation,localized_status,percent_complete,percent_savings,plan_name,retain_until,size_of_application_bytes,size_on_media_bytes,start_time,status,storage_policy_name,subclient_name,total_num_files
MySQL,67.1977,Incremental,defaultDummyBackupSet,"Linux file system agents, Systems backup - daily MySQL full, Firewall - direct, All agents, Active backups, Updates needed, Mobile Operations",1371,vm8,vm8,34,2025-10-01T15:08:12+00:00,1644236,Backup,Backup,Completed,100.0,67.6909,applications - MySQL databases,2025-10-15T15:07:11+00:00,120254939,38853333,2025-10-01T15:07:11+00:00,Completed,2 weeks,default,5
MySQL,64.446,Incremental,defaultDummyBackupSet,"Linux file system agents, Systems backup - daily MySQL full, Firewall - direct, All agents, Active backups, Updates needed, Mobile Operations",1371,vm8,vm8,19,2025-10-01T14:07:39+00:00,1644219,Backup,Backup,Completed,100.0,68.8341,applications - MySQL databases,2025-10-15T14:06:48+00:00,115330635,35943814,2025-10-01T14:06:48+00:00,Completed,2 weeks,default,5
MySQL,64.6347,Incremental,defaultDummyBackupSet,"Linux file system agents, Systems backup - daily MySQL full, Firewall - direct, All agents, Active backups, Updates needed, Mobile Operations",1371,vm8,vm8,32,2025-10-01T13:07:30+00:00,1644202,Backup,Backup,Completed,100.0,68.5016,applications - MySQL databases,2025-10-15T13:06:25+00:00,115668251,36433658,2025-10-01T13:06:25+00:00,Completed,2 weeks,default,5
MySQL,61.8147,Incremental,defaultDummyBackupSet,"Linux file system agents, Systems backup - daily MySQL full, Firewall - direct, All agents, Active backups, Updates needed, Mobile Operations",1371,vm8,vm8,30,2025-10-01T12:07:08+00:00,1644166,Backup,Backup,Completed,100.0,68.538,applications - MySQL databases,2025-10-15T12:06:03+00:00,110621740,34803778,2025-10-01T12:06:03+00:00,Completed,2 weeks,default,5
MySQL,57.3057,Incremental,defaultDummyBackupSet,"Linux file system agents, Systems backup - daily MySQL full, Firewall - direct, All agents, Active backups, Updates needed, Mobile Operations",1371,vm8,vm8,28,2025-10-01T11:06:32+00:00,1644148,Backup,Backup,Completed,100.0,68.6127,applications - MySQL databases,2025-10-15T11:05:40+00:00,102552464,32188412,2025-10-01T11:05:40+00:00,Completed,2 weeks,default,5
MySQL,64.4526,Incremental,defaultDummyBackupSet,"Linux file system agents, Systems backup - daily MySQL full, Firewall - direct, All agents, Active backups, Updates needed, Mobile Operations",1371,vm8,vm8,25,2025-10-01T10:06:05+00:00,1644130,Backup,Backup,Completed,100.0,68.573,applications - MySQL databases,2025-10-15T10:05:17+00:00,96118613,30207155,2025-10-01T10:05:17+00:00,Completed,2 weeks,default,5
MySQL,53.0293,Incremental,defaultDummyBackupSet,"Linux file system agents, Systems backup - daily MySQL full, Firewall - direct, All agents, Active backups, Updates needed, Mobile Operations",1371,vm8,vm8,29,2025-10-01T09:05:53+00:00,1644112,Backup,Backup,Completed,100.0,68.4471,applications - MySQL databases,2025-10-15T09:04:55+00:00,94899539,29943592,2025-10-01T09:04:55+00:00,Completed,2 weeks,default,5
MySQL,57.193,Incremental,defaultDummyBackupSet,"Linux file system agents, Systems backup - daily MySQL full, Firewall - direct, All agents, Active backups, Updates needed, Mobile Operations",1371,vm8,vm8,27,2025-10-01T08:05:36+00:00,1644094,Backup,Backup,Completed,100.0,67.8596,applications - MySQL databases,2025-10-15T08:04:32+00:00,102350835,32896022,2025-10-01T08:04:32+00:00,Completed,2 weeks,default,5
MySQL,62.7059,Incremental,defaultDummyBackupSet,"Linux file system agents, Systems backup - daily MySQL full, Firewall - direct, All agents, Active backups, Updates needed, Mobile Operations",1371,vm8,vm8,27,2025-10-01T07:05:02+00:00,1644074,Backup,Backup,Completed,100.0,68.2055,applications - MySQL databases,2025-10-15T07:04:09+00:00,93513780,29732238,2025-10-01T07:04:09+00:00,Completed,2 weeks,default,5
MySQL,33.2725,Incremental,defaultDummyBackupSet,"Linux file system agents, Systems backup - daily MySQL full, Firewall - direct, All agents, Active backups, Updates needed, Mobile Operations",1371,vm8,vm8,33,2025-10-01T06:04:52+00:00,1644058,Backup,Backup,Completed,100.0,68.3672,applications - MySQL databases,2025-10-15T06:03:47+00:00,69467427,21974492,2025-10-01T06:03:47+00:00,Completed,2 weeks,default,5
