Name,Status,Tenant,Site,Location,Rack,Rack Position,Role,Manufacturer,Type,IP Address,ID,Tenant Group,Serial number,Asset tag,Region,Site Group,Parent Device,Position (Device Bay),Position,Rack face,Latitude,Longitude,Airflow,IPv4 Address,IPv6 Address,OOB IP,Cluster,Virtual Chassis,VC Position,VC Priority,Description,Config Template,Comments,Contacts,Tags,Created,Last updated,Platform,Server Group,Backup,DTAP state,Harddisk,open actions,CPU,Memory,Monitor hardware,HW buy date,HW warranty expiration,Warranty type,Console ports,Console server ports,Power ports,Power outlets,Interfaces,Front ports,Rear ports,Device bays,Module bays,Inventory items,VCPUs,Memory (MB),Disk,Device,Virtual Disks,netbox_type
LI15,Active,Network Infrastructure,Ironmountain,"EVO, Hal4, LI",LI-15,Rear 46.0,Patchpanel,Unknown,PatchPanel (1U) (half-depth),,218,,,,Netherlands,,,,46.0,Rear,,,,,,,,,,,,,,GO / TO / AM / Technical Management (responsible),,2025-07-22T09:45:04.323306Z,2025-07-22T09:45:04.323326Z,,,,,,,,,,,,,0,0,0,0,4,0,0,0,0,0,,,,,,devices
Linksys EF4116,Active,Network Infrastructure,Unknown,,,,Network switch,Unknown,Network switch,,254,,,,,,,,,,,,,,,,,,,,,,,T&P / Application Delivery Platform (responsible),,2025-07-22T09:45:31.778565Z,2025-07-22T09:45:31.778584Z,,,,,,,,,,,,,0,0,0,0,24,0,0,0,0,0,,,,,,devices
LNS Netvia,Active,,Unknown,,,,Server,Unknown,Server,,73,,,,,,,,,,,,,,,,,,,,,,,,,2025-07-22T09:43:25.250174Z,2025-07-22T09:43:25.250192Z,,,,,,,,,,,,,0,0,0,0,3,0,0,0,0,0,,,,,,devices
lsw-304-nkf-master,Active,Network Infrastructure,Nikhef Amsterdam (nkf),"NKF, 1",304,Front 44.0,Network switch,Unknown,Network switch,,1867,,,,Netherlands,,,,44.0,Front,,,,,,,,sw93-nkf,1,,,,,,,2025-07-22T10:12:09.473737Z,2025-07-22T10:15:39.043600Z,,,,,,,,,,,,,2,0,4,0,51,0,0,0,2,0,,,,,,devices
lsw-304-nkf-slave,Active,Network Infrastructure,Nikhef Amsterdam (nkf),"NKF, 1",304,Front 43.0,Network switch,Unknown,Network switch,,1868,,,,Netherlands,,,,43.0,Front,,,,,,,,sw93-nkf,2,,,,,,,2025-07-22T10:12:09.797938Z,2025-07-22T10:15:39.256168Z,,,,,,,,,,,,,2,0,4,0,51,0,0,0,2,0,,,,,,devices
lsw-gsw-001-master,Active,Network Infrastructure,Unknown,,,,Network switch,Unknown,Network switch,,1854,,,,,,,,,,,,,,,,,lsw-P27-gsw,1,,,,,,,2025-07-22T10:11:56.629414Z,2025-07-22T10:15:37.925849Z,,,,,,,,,,,,,1,0,2,0,52,0,0,0,2,0,,,,,,devices
lsw-gsw-001-slave,Active,Network Infrastructure,Unknown,,,,Network switch,Unknown,Network switch,,1855,,,,,,,,,,,,,,,,,lsw-P27-gsw,2,,,,,,,2025-07-22T10:11:56.970626Z,2025-07-22T10:15:38.130377Z,,,,,,,,,,,,,1,0,3,0,52,0,0,0,2,0,,,,,,devices
lsw0-li09-evo,Active,Network Infrastructure,Unknown,,,,Network switch,Unknown,Network switch,,1913,,,,,,,,,,,,,,,,,,,,,,,,,2025-07-22T10:12:56.623949Z,2025-07-22T10:12:56.623967Z,,,,,,,,,,,,,1,0,2,0,53,0,0,0,0,0,,,,,,devices
lsw01-0602-am8,Active,Network Infrastructure,Unknown,,,,Network switch,Unknown,Network switch,,1909,,,,,,,,,,,,,,,,,,,,,,,,,2025-07-22T10:12:54.696377Z,2025-07-22T10:12:54.696394Z,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,devices
lsw1-li09-evo,Active,Network Infrastructure,Unknown,,,,Network switch,Unknown,Network switch,,1914,,,,,,,,,,,,,,,,,,,,,,,,,2025-07-22T10:12:56.946087Z,2025-07-22T10:12:56.946106Z,,,,,,,,,,,,,1,0,2,0,53,0,0,0,0,0,,,,,,devices
lsw02-0602-am8,Active,Network Infrastructure,Unknown,,,,Network switch,Unknown,Network switch,,1910,,,,,,,,,,,,,,,,,,,,,,,,,2025-07-22T10:12:55.029828Z,2025-07-22T10:12:55.029846Z,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,devices
M2000,Active,,KPN DSSD2 (dus),Row A,A00,Front 24.0,Server,Unknown,Server (2U) (full-depth),,664,,,,Germany,,,,24.0,Front,,,,,,,,,,,,,,Voiceworks Germany (responsible),,2025-07-22T09:51:56.462537Z,2025-07-22T09:51:56.462555Z,,,,,,,,,,,,,0,0,0,0,3,0,0,0,0,0,,,,,,devices
M2000-LANSW0,Active,Network Infrastructure,KPN DSSD2 (dus),Row A,A00,Front 40.0,Network switch,Unknown,Network switch (1U) (half-depth),,662,,,,Germany,,,,40.0,Front,,,,,,,,,,,,,,GO / TO / MCI / Mobile Network Maintainer (responsible),,2025-07-22T09:51:55.342695Z,2025-07-22T09:51:55.342713Z,,,,,,,,,,,,,0,0,0,0,24,0,0,0,0,0,,,,,,devices
M2000-LANSW1,Active,Network Infrastructure,KPN DSSD2 (dus),Row A,A00,Front 42.0,Network switch,Unknown,Network switch (1U) (half-depth),,663,,,,Germany,,,,42.0,Front,,,,,,,,,,,,,,T&P / Coligo Grid (responsible),,2025-07-22T09:51:55.901630Z,2025-07-22T09:51:55.901648Z,,,,,,,,,,,,,0,0,0,0,24,0,0,0,0,0,,,,,,devices
mailmon02-server49,Active,,Unknown,,,,Server,Unknown,Server,,114,,,,,,,,,,,,,,,,,,,,,,,,,2025-07-22T09:43:50.273124Z,2025-07-22T09:43:50.273142Z,,,,,,,,,,,,,0,0,0,0,3,0,0,0,0,0,,,,,,devices
Marvia,Active,Network Infrastructure,Unknown,,,,Customer,Unknown,Customer,,34,,,,,,,,,,,,,,,,,,,,,,,GO / TO / Voice Operations (responsible),,2025-07-22T09:42:59.894538Z,2025-07-22T09:42:59.894555Z,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,devices
Maxitel,Active,Network Infrastructure,Unknown,,,,Customer,Unknown,Customer,,992,,,,,,,,,,,,,,,,,,,,,,,,,2025-07-22T09:56:03.662683Z,2025-07-22T09:56:03.662700Z,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,devices
mcrt01-gsw,Active,Network Infrastructure,Unknown,,,,Router,Cisco,ASR 1001,,162,,,,,,,,,,,,,,,,,,,,,,,GO / TO / Network Operations (responsible),,2025-07-22T09:44:18.860250Z,2025-07-22T09:44:18.860268Z,,,,,,,,,,,,,1,0,2,0,5,0,0,0,0,0,,,,,,devices
mcrt01-gsw-n,Active,Network Infrastructure,Globalswitch Amsterdam (gsw),"GSW, 27",T27,Front 37.0,Router,Cisco,ASR 1001-X,,1800,,FXS2534Q4WT,,Netherlands,,,,37.0,Front,,,,,,,,,,,,,,,,2025-07-22T10:11:06.891301Z,2025-07-22T10:11:06.891320Z,,,,,,,,,,,,,1,0,2,0,9,0,0,0,0,0,,,,,,devices
mcrt02-nkf,Active,Network Infrastructure,Unknown,,,,Router,Cisco,ASR 1001,,176,,,,,,,,,,,,,,,,,,,,,,,T&P / OP / Special Ops Engineer (responsible),,2025-07-22T09:44:31.956920Z,2025-07-22T09:44:31.956937Z,,,,,,,,,,,,,1,0,2,0,5,0,0,0,0,0,,,,,,devices
